Durum,Rapor Aciklamasi
Müspet,19S hattında çalışan C-1669 kodlu araca 12.01.2018 günü yapılan denetimde aracın dış tabelası çalışmadığı tespit edilmiştir
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :12:20
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :12:10
Menfi,Yapılan denetimlerde aracın arka ioas logosuna süre verildigine ragmen hala sorun devam etmektedir gereğini arz ederim
Menfi,Yapılan denetimlerde aracın şoförü ömer çakır raydoda haberleri dinleyerek yolculara rahatsızlık vermektedir keza araçta raydo haber müzik dinlemek yasak olduğunu bildiği halde gereğini rica ederim.
Menfi,Yapılan denetimlerde aracın lcd ekranları bozuktur yolcular büyük sıkıntı yaşamaktadır gereğini rica ederim.
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:10:30
Müspet,93 HATTINDA 08.25 ARACI HALİÇ DURAĞINDA BEKLİYORDUM GELMEDİ ARAÇ KAÇIRMA İHTİMALİM SIFIR ARAÇ GELMEDİ HER GÜN AYNI SORUNU YAŞIYORUM ARAÇ GELMİYOR VE MAĞDUR OLUYORUM GENEL OLARAK BÜTÜN ARAÇLARDA AYNI PROBLEM VAR ARAÇLAR GELMİYOR BEN SİSTEMİN İŞLEMEDİĞİNİ DÜŞÜNÜYORUM. HİÇ BİR SONUÇ ALAMIYORUM. iett tespit: 34 km
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :09:10
Menfi,12.01.2018 tarihinde saat 06:25 nişantepeden üsküdar yönüne hareketli C-1912 kapı numaralı aracın şoförü sefer saatini beklerken araç içinde sigara içmiş ve aracın sefer süresince leş gibi sigara kokmasıns sebebiyet vermiş. Sigara ile mücadele eden bir devletin kamu hizmeti yaptığı aracın bu şekilde sorumsuzca hareketine göz yuman sizleri çalışmaya davet ediyorum. Aynı şoför taşdelendeki emniyetbinası önünde durak olmadığı halde yolcu indirmiştir. Para iade etmeye gelince prosedür bağımlısı İETT neden bu tür durumlarda prosedürleri uygulamamakta ısrar ediyor Hat No Paylaşılmadı.
Müspet,Aracın ön kısmına fazladan yapıştırılmış ılan İBB logosunun sökülmediği sağ sol ve arkadaki solmuş olan İOAŞ logolarının yenilenmediği görülmüştür. Not:bu konularda daha önce uyarı yapılarak rapor yazıldı.müsbet bir çaba görülmemektedir.
Müspet,129T HAT NOLU BOSTANCI KALKIŞLI 06.20 VE 06.40 SEFERLERİ İPTAL EDİLDİ.BU MAĞDURİYETİ ÇOK SIK YAŞIYORUZ.SEFER İPTAL EDİLDİĞİNDE YERİNE EK SEFER UYGULAMASI YAPILMASINI TALEP EDİYORUM.OĞLUM ÜSTBOSTANCI DURAĞINDA 06.16 İLE 06.46 YA KADAR BEKLEDİK. C-1532 883588 129T 129T_G_D0 06:20 06:20 i OY : _fym_hsoylu göreve gelmedi OAŞ DEVRİ kısmı
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:08:13
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -10- sefer etkilenmistir ilk zayi saati:08:00
Menfi,Araç dış temizliği yapılmadan sefere başlamıştır.
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -3- sefer etkilenmistir ilk zayi saati:07:30
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -5- sefer etkilenmistir ilk zayi saati:07:21
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -3- sefer etkilenmistir ilk zayi saati:07:10
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -6- sefer etkilenmistir ilk zayi saati:06:30
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -5- sefer etkilenmistir ilk zayi saati:06:25
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:06:20
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -4- sefer etkilenmistir ilk zayi saati:06:00
Menfi,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:06:00
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -10- sefer etkilenmistir ilk zayi saati:05:50
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -3- sefer etkilenmistir ilk zayi saati:05:50
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:05:45
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -11- sefer etkilenmistir ilk zayi saati:05:45
Menfi,BELİRTTİĞİM PLAKALI ARAÇ ŞOFÖRÜ KADIKÖY KALKIŞ OLARAK 23.10 SEFERİ HASTANE DURAĞINDA DURMADI KARTAL İSTİKAMETİNDE SÜREKLİ YAŞANAN BİR DURUM ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI ARZ EDERİM. iett tespit: 56 km
Menfi,HAT:76B YÖN:AVCILAR DURAK:KULELİ SAAT:21:58 BELİRTMİŞ OLDUĞUM ARACIN BAKIRKÖY DEN 21:50 SEFERİNİ BEKLİYORUM.ARAÇ DURAKTAN GEÇMEMİŞTİR.BU DURUMDAN DOLAYI ŞİKAYETÇİYİM.ARAÇ GELMEDİĞİ İÇİN ŞİKAYETÇİYİM. iett tespit: 33 km
Müspet,DURAK İHLALİ YAPAN ARAÇ : E-9 BEKLENEN DURAK: ENGELLİLER MERKEZ GİDİŞ YÖNÜ: SABİHA GÖKÇEN HAV. ARAÇ GEÇİŞ SAATİ : 21:55 BELİRTTİĞİM ARAÇ DURAKTA DURMADI MAĞDUR OLDUM.ŞİKAYET EDİYORUM GEREĞİNİN YAPILMASINI ARZ EDERİM.-21:30 DA BOSTANCIDAN KALKAN ARAÇ- 36 km DURAK İHLALİ 46 DK GEÇ
Müspet,A-1828 KAPI KODLU BN1 HAT NOLU HALKALI İSTİKAMETİNDEKİ OTOBUSE SAAT 21:45 DE İSTANBUL AKVARYUM DURAĞINDA BİNDİM.ŞOFÖR AKBİLİ OLMAYAN YOLCULARDAN PARA ALMAKTADIR.BUNDAN DOLAYI ŞİKAYETÇİYİM.GEREKLİ İŞLEMLERİN YAPILMASINI TALEP EDİYORUM. ÜCRET ALAN ŞOFÖR HK
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :22:05
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:21:00
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:19:30
Menfi,PLANLANAN SEFERİNİ TAMAMLAMAYIP 19:20 DE ZİNCİRLİKUYUDAN GERİ DÖNEREK İŞLETMENİN TALİMATINA UYMADIĞI TESPİT EDİLMİŞTİR.
Menfi,BELİRTTİĞİM ARAÇ ŞOFÖRÜ BELİRTTİĞİM DURAKTA DURMADAN GİTTİ ŞİKAYETÇİYİM iett tespit: 40 km
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:19:00
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :19:00
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :18:35
Menfi,PLANLANAN SEFERİNİ TAMAMLAMAYIP 18:30 DA LEVENTTEN GERİ DÖNEREK İŞLETMENİN TALİMATINA UYMADIĞI TESPİT EDİLMİŞTİR.
Menfi,sabah ve akşam yapılan fiziki denetimde Kasım KARAGÖZ ün gün boyu tek çalıştığı tespit edilmiştir.
Müspet,ARACIN 15.45 SEFERİ BELİRTMİŞ OLDUĞUM DURAKTA BEKLEMEME RAĞMEN DURMADAN GEÇMİŞTİR ARACIN DURAKTA DURMAMAMSINDAN DOLAYI MAĞDUR OLMAKTAYIM ARAÇ ŞÖFÖRÜNDEN ŞİKAYETCİYİM GEREKEN İŞLEMLERİN YAPILMASINI İSTİYORUM 45KM DURAK İHLALİ
Müspet,HAT: 20D DURAK: ANAKENT KOLEJİ SAAT:16:14 CİVARI YÖN: DUDULLU BELİRTMİŞ OLDUĞUM ARACIN ŞOFÖRÜ BEKLEDİĞİM DURAKTA DURMADAN DEVAM ETTİ. MAĞDUR OLUYORUZ.ŞİKAYETÇİYİM. GEREKENLERİN YAPILMASINI TALEP EDİYORUM. 39KM DURAK İHLALİ
Menfi,Sabah ve akşam yapılan fiziki denetimlerde HASAN KALPAK ın gün boyu tek çalıştığı tespit edilmiştir.
Menfi,Sabah ve akşam yapılan fiziki denetimlerde YUSUF ARSLAN ın gün boyu tek çalıştığı tespit edilmiştir.
Müspet,11.01.2018 tarihinde C 1752 kodlu araca yapılan denetimlerde araç sürücüsünün belirlenen süreden fazla olarak çalıştığı tesbit edilmiştir.
Müspet,sabah ve aksam yapilan fiziki denetimde HASAN DEMİRCAN in gün boyu tek çaliştiği tespit edilmiştir.
Müspet,İyi günler. 15B hatlı C1755 kapı nolu otobüs Üsküdar Anadolu İmam Hatip Lisesi durağına yaklaşırken yazılı göstergesini kapatarak durağa girmeden devam etti ve durağı geçer geçmez köşeyi dönünce göstergeyi yeniden açtı. Gereğinin yapılmasını arz ederim. iett tespit: 29 km
Müspet,11.01.2018 tarihinde C 1731 kodlu araca yapılan denetimlerde araç sürücüsünün belirlenen süreden fazla olarak çalıştığı tesbit edilmiştir.
Müspet,11.01.2018 Tarihinde Yapılan Denetimde Sürücü Personelin Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Müspet,11.01.2018 Tarihinde Yapılan Denetimde Sürücü Personelin Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Menfi,A-1502 93 HATTI SAAT:15:20 GİBİ PAZARTEKKE DURAĞINDA BEKLİYORDUM ZEYTİNBURNU YÖNÜ ARAÇ GELDİ İŞARET YAPMAMA RAĞMEN DURAKTA DURMADI DEVAM ETTİ VE BİR SONRAKİ DURAKTA DURDU MAĞDUR OLDUM ŞİKAYETÇİYİM. iett tespit: 46 km
Müspet,sabah ve aksam yapilan fiziki denetimde Hüseyin SOLMAZ in gün boyu tek çaliştiği tespit edilmiştir.
Müspet,11.01.2018 Tarihinde Yapılan Denetimde Sürücü Personelin Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Menfi,11.01.2018 tarihinde yapılan denetimde belirlenen süreden fazla çalıştığı tespit edilmiştir
Menfi,11.01.2018 tarihinde yapılan denetimde belirlenen süreden fazla çalıştığı tespit edilmiştir
Menfi,11.01.2018 tarihinde yapılan denetimde belirlenen süreden fazla çalıştığı tespit edilmiştir.
Müspet,11.01.2018 tarihinde 14A hattında çalışan Araç sürücüsünün nautilus durağında araçta seyir halinde telefon ile konuştuğu ve sivil bir araçsürücüsü ile münakaşa ettiği tespit edilmiştir.
Menfi,Aracta yapilan denetimde aracin engelli rampa açma kolu kirik oldugu tespit edildi..A raporu duzenlendi.resim ektedir.eksikligin giderildigine dair evrak resim rapor cevaplamada beyan edilmelidiir.
Müspet,C-1906 kodlu aracın kamera kayıt cihazının arızalı olduğu tespit edilmiştir.
Müspet,11.01.2018 tarihinde C 1615 kodlu araca yapılan denetimde aracın dış logolarınin yıprandığı ve defalarca süre verilmiş olmasına rağmen logolarin yenilenmedigi tespit edilmiştir
Menfi,Yapılan denetlemerde aracın içinde yolcu olmasına rağmen yasak olduğunu bile bile atilla cengizin sigara içtiği görülmüştür. Gereğini rica ederim.
Müspet,Yapılan denetimlerde aracın sesli anons ve lcd ekranı uzun zamandır yoktur geregini rica ederim.
Müspet,Arka monitörün arızalı olduğu çalışmadığı gözlemlenmiştir Rapor cevaplanırken eksikliğin giderildiğine dair fotoğraf veya belge eklenmesi gerekmektedir
Menfi,Yapılan denetimlerde aracın yangın tüpü boştur gereğini arz ederim
Müspet,Yapılan denetimlerde aracın engelli kemeri kopuktur gereğini rica ederim.
Müspet,Yapılan denetimlerde aracın arka ioas logosu yırtık kirli ve kopuktur gereğini arz ederim.
Menfi,04.01.2018 tarihinde yapilan uyarıda şöför kapısı üzerinde ki panolar kırık ve eksik olduğu ve tarife listeleri olmadığı gözlemlenmiş olup son yapılan kontrollerde şöför kapısının üzerinde eksik pano olduğu ve tarife listeleri olmadığı gözlemlenmiştir Rapor cevaplanırken eksikliğin giderildiğine dair fotoğraf veya belge eklenmesi gerekmektedir
Müspet,İSFALT DURAĞINDA KADIKÖY YÖNÜNE GİDİYORUM 320A GELİYOR DURAĞA YANASMIYCAĞANI GÖRÜYORSUNUZ TAM PESİNDEN GİDERKEN ELLE İŞARET YAPTINIZ DIRAĞIN YANINDA TAKSİ VAR YANASAMIYORUM HAREKETİ YAPTI VE GİTTİ KACICAĞINI ANLAMISTIM HEP AYNISINI YAPIYORLAR BU DURUMU HEP YASIYORUM 57 KM DURAK İHLALİ
Müspet,HAT NO : 72 T KAPI KODU : A1660 SAAT :10.05 72 T HATTI TAKSİM YÖNÜNE GİDERKEN ATAKÖY CİVARINDA ŞOFÖR KARTINDA BAKİYESİ OLMAYAN İNSANLARDAN PARA ALDI VE YERİNE KART BASMADI SORDUKLARINDA DA KART BASMAYA GEREK OLMADIĞINI SÖYLEDİ ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI ARZ EDERİM..
Müspet,04.01.2018 tarihinde yapilan kontrollerde Araç içi engelli rampanın kaplaması sökük olduğu onarılması gerektiği konusunda uyarı yapılmış olup ve son yapılan kontrollerde engelli rampanın kaplaması onarılmadığı gözlemlenmiştir Rapor cevaplanırken eksikliğin giderildiğine dair fotoğraf veya belge eklenmesi gerekmektedir.
Menfi,C-1930 KAPI NUMARALI 11ÜS ARACI Ç.BELEDİYE SAPAĞI DURAĞINDA DURMADI BUNU DİĞER YAPIYOR YANYOLA GİRİYORLAR AMA BURADA DURMUYORLAR ŞİKAYETÇİYİM iett tespit: 57 km
Müspet,BELİRTMİŞ OLDUĞUM ARACIN ŞOFÖRÜ BENDEN VE DİĞER YOLCULARDAN NAKİT OLARAK PARA ALDI ŞİKAYETÇİYİM
Müspet,Yapılan denetimlerde aracın cam filmine süre verildiğine ve defalarca uyarildgina rağmen sorun hala devam etmektedir gereğini rica ederim.
Müspet,Uyarılmasına rağmen arka İOAŞ logosu yapıştırılmadığı görülmüştür.
Müspet,Aracın ön camı yaklaşık 50 cm civarında kırıktır. Ekte fotoğrafı mevcuttur
Müspet,122B HAT NOLUN ARAÇÇ ŞOFÖRÜ KAVACIK KÖPRÜSÜ DURAĞINDA 08:20 MECİDİYEKÖY YÖNÜ İÇİN BEKLEDİM ARAÇ DURAĞA 08:28 DE GELDİ DURAĞA GİRMEDEN DİREK GEÇTİ ŞİKAYETÇİYİM GEREĞİNİN YAPILMASI ARZ EDERİM iett tespit: 32 km
Müspet,HAT NUMARASI: 97GE KAPI NUMARASI: A-1811 SAAT: 08.10 DURAK ADI: AKSARAY YÖN: GÜNEŞLİ ARAÇ DA AKSARAY DURAĞIN DA İNMEK İSTEDİM. DÜĞMEYE BASMAMA RAĞMEN İSTANBUL EMNİYET MÜD. DURAĞIN DA İNDİRDİ. ÖNÜN DE ARACI SOLLAMAYA ÇALIŞTIĞI İÇİN. EMNİYET DURAĞIN DA ARAÇ DURDUĞU ZAMAN DİĞER OTOBÜS ŞOFÖRU GELDİ. NAPMAYA ÇALIŞIYORSUN BİZİ ÖLDÜRMEYE Mİ ÇALIŞIYORSUN DEDİ. BU DA AĞIZA ALINMAYACAK KÜFÜRLER ETTİ. OTOBÜSÜ ÜZERİNE DİĞER ŞOFÖRUN ARACININ ÜSTÜNE SÜRDÜ. ŞÖFORLUK DEN MEN EDİLMESİNİ İSTİYORUM. PSİKOLİJİK PROBLEMLERİNİN OLDUĞUNU DÜŞÜNÜYORUM.
Müspet,11.01.2018 Tarihinde Yapılan Denetimde Aracın Plakasının Boyanması Gerektiği Tespit Edilmiştir.
Müspet,15.11.2017 tarihinde uyarılmasına rağmen aracın şoför kamerasının açısının düzeltilmediği tespit edilmiştir
Müspet,11.01.2018 Tarihinde Yapılan Denetimde Aracın Dış Temizliğinin Yapılmadığı ve İç LCD Ekranların arızalı olduğu tespit edilmiştir. Görüntü Ektedir
Müspet,22.12.2017 tarihinde aracın şoför kamera açısının düzeltilmiş olmasına rağmen kamera açısının tekrar değiştirildiği tespit edilmiştir
Müspet,11.01.2018 Tarihinde Yapılan Denetimde Aracın Kameraların Kayıt Yapmadığı Anlaşılmıştır.
Müspet,21.12.2017 tarihinde uyarılmasına rağmen aracın arka İOAŞ logosunun yenilenmediği tespit edilmiştir
Müspet,Yaklaşık 1 hafta önce kırılan ve değişimi yapılan arka camın parçaları halen arka kapı bölümünde bulunmaktadır.araç iç temizliğinin yapılmadığı görülmektedir
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -8- sefer etkilenmistir ilk zayi saati:08:00
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:07:32
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:07:25
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -12- sefer etkilenmistir ilk zayi saati:07:20
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -8- sefer etkilenmistir ilk zayi saati:07:13
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:07:10
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -3- sefer etkilenmistir ilk zayi saati:07:10
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -8- sefer etkilenmistir ilk zayi saati:07:00
Menfi,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:06:55
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -7- sefer etkilenmistir ilk zayi saati:06:55
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -3- sefer etkilenmistir ilk zayi saati:06:20
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:06:05
Menfi,Sefer Zayi Raporu - Otobus Yoklugu -5- sefer etkilenmistir ilk zayi saati:05:55
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:05:35
Menfi,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:05:00
Menfi,BELİRTTİĞİM ARAÇ DURAKTA DURMADI MAĞDUR OLDUM.ŞİKAYET EDİYORUM GEREĞİNİN YAPILMASINI İSTİYORUM.BU DURUM SÜREKLİ OLUYOR. SAAT 00:10 DA KALKAN SON ARAÇ YAPMIŞTIR. iett tespit: 32 km
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:22:05
Müspet,ŞUAN AKTİF ÇALIŞMAKTA OLAN BELİRTMİŞ OLDUĞUM HATLI OTOBÜSE BİNDİM. OTOBÜSE UFAK ÇOCUĞUM AKPİL BASTI VE ŞOFÖR BANA SENDE AKPİL BAS YOKSA PARASINI VER DEDİ. BENDE PARA İSTEMESİNİN YASAL OLMADIĞINI KENDİSİNE İLETTİM FAKAT FARK ETTİM Kİ ZATEN DAHA ÖNCE DE VATANDAŞLARDAN PARA ALMIŞ 6 TL DURUYORDU. BENDE DİĞER VATANDAŞLARDAN AKPİL RİCA EDİP GEÇİŞ YAPTIM. ARAÇ ŞOFÖRÜNÜN PARA ALMASINDAN DOLAYI ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI TALEP EDERİM.
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:20:45
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:20:40
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :20:20
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:20:10
Müspet,10.01.2018 tarihinde yapılan denetimlerde sürücünün gün boyu tek şoför olarak çalışma yaptığı anlaşılmıştır
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:19:22
Müspet,10.01.2018 tarihinde yapılan denetimlerde sürücünün gün boyu tek şoför olarak çalışma yaptığı anlaşılmıştır
Müspet,10.01.2018 tarihinde yapılan denetimlerde sürücünün gün boyu tek şoför olarak çalışma yaptığı anlaşılmıştır.diger şoförün hasta olduğunu sürücü beyan etmiştir
Müspet,10.01.2018 tarihinde yapılan denetimlerde sürücünün belirlenen süreden fazla olarak çalışma yaptığı anlaşılmıştır
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:19:00
Müspet,14F HAT NUMARALI ARACI HAYDARPAŞA ÖĞRENCİ YURDU DURAĞINDA BEKLEMEKTEYİM. ARAÇ GELDİ. DURAKDA DURMADI. DURAK İHLALİ YAPTI. ŞİKAYETÇİYİM. GEREĞİNİN YAPILMASINI ARZ EDERİM. iett tespit :37 km
Menfi,10.01.2018 tarihinde C 1549 kodlu araca yapılan denetimlerde araç sürücüsünün belirlenen süreden fazla olarak çalıştığı tesbit edilmiştir.
Müspet,10.01.2018 tarihinde C 1501 kodlu araca yapılan denetimlerde araç sürücüsünün belirlenen süreden fazla olarak çalıştığı tesbit edilmiştir.
Müspet,10.01.2018 tarihinde C 1731 kodlu araca yapılan denetimlerde araç sürücüsünün belirlenen süreden fazla olarak çalıştığı tesbit edilmiştir.
Menfi,PLANLANAN SEFERİNİ TAMAMLAMAYIP 18:10 DA ZİNCİRLİKUYUDAN GERİ DÖNEREK İŞLETMENİN TALİMATINA UYMADIĞI TESPİT EDİLMİŞTİR.
Menfi,10.01.2018 tarihinde yapılan denetimde belirlenen süreden fazla çalıştığı tespit edilmiştir.
Müspet,10.01.2018 tarihinde C 1759 kodlu araca yapılan denetimlerde araç sürücüsünün belirlenen süreden fazla olarak çalıştığı tesbit edilmiştir.
Menfi,sabah ve aksam yapilan fiziki denetimde Fethi ÜZER in gün boyu tek çaliştiği tespit edilmiştir.
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :17:16
Müspet,10.01.2018 Tarihinde Yapılan Denetimde Sürücü Personelin Belirlenen Süreden Fazla Çalıştığı Tespit Edilmistir. Görüntü Ektedir
Menfi,sabah ve aksam yapilan fiziki denetimde Galip SUSUR un gün boyu tek çaliştiği tespit edilmiştir.
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -2- sefer etkilenmistir İhlal Saati :16:58
Menfi,sabah ve aksam yapilan fiziki denetimde Mustafa YAMAK in gün boyu tek çaliştiği tespit edilmiştir.
Menfi,sabah ve aksam yapilan fiziki denetimde Erkan AĞBAŞ in gün boyu tek çaliştiği tespit edilmiştir.
Menfi,10.01.2018 tarihinde C 1537 kodlu araca yapılan denetimde aracın dış temizliğinin yapılmadığı tespit edilmiştir
Müspet,34GA8527 146 HATLI OTOBÜSÜ ŞOFÖRÜ AKBİLİ OLMAYAN YOLCUDAN ÜCRET ALIYOR ŞİKAYETÇİYİM. BAKIRKÖY YÖNÜ
Menfi,C-1548 KAPI NUMARALI 19T HAT NUMARALI HAMZA YERİKAYA DURAĞINDAN DURMADI. ENGELLİ VATANDAŞIM BU ŞOFÖRDEN ŞİKAYETÇİYİM. 13.20 DE GEÇTİ. iett tespit: 25 km
Menfi,Sabah ve akşam yapılan fizikî denetlemelerde bekir güder tek çalıştığı görülmüştür geregini arz ederim
Menfi,Sabah ve akşam yapılan fizikî denetlemelerde aracın şoförü muzaffer yurdunuseven tek çalıştığı görülmüştür geregini arz ederim
Menfi,Sabah ve akşam yapılan fizikî denetlemelerde aracın şoförü çağlar dal-budak tek çalıştığı görülmüştür geregini arz ederim
Menfi,Sabah ve akşam yapılan fizikî denetlemelerde aslan karadenizin tek çalıştığı görülmüştür geregini arz ederim.
Menfi,Araç Monitörleri çalışmadığı gözlemlenmiştir Rapor cevaplanırken eksikliğin giderildiğine dair fotoğraf veya belge eklenmesi gerekmektedir
Menfi,PLANLANAN SEFERİNİ TAMAMLAMAYIP 14:53 TE BEŞİKTAŞTAN GERİ DÖNEREK İŞLETMENİN TALİMATINA UYMADIĞI TESPİT EDİLMİŞTİR.
Menfi,Araç içi kirli olduğu temizlik yapılmadığı gözlemlenmiştir Rapor cevaplanırken eksikliğin giderildiğine dair fotoğraf veya belge eklenmesi gerekmektedir
Menfi,10.01.2018 tarihinde 11ÜS hattında çalışan araç sürücüsünün şemsipaşa marmaray önünde araçta sigara içtiği tespit edilmiştir.
Müspet,12:10 GEÇE BAKIRKÖY DEN YOLCU ALDI ŞOFÖR YOLCULAR ARAP TURİSTTİ ANNE BAB VE ÇOCUK ALDI VE YOLCULARDAN 4 KİŞİLİK AKBİL TALEP ETTİ UYARDIĞIMIZDA İSE KENDİSİ BASTI OLARAK BELİRTTİ ÇOCUKLARDA AKBİL ALINMAMASI GEREKİYOR ŞİKAYETÇİYİM GEREĞİNİ ARZ EDERİM A1553
Müspet,sigara yasak değil galiba şoför sigara içiyor. Hat No Paylaşılmadı. GÖRSEL EKTE
Menfi,Araç içi koltuklar kirli olduğu gözlemlenmiştir Rapor cevaplanırken eksikliğin giderildiğine dair fotoğraf veya belge eklenmesi gerekmektedir
Müspet,10.01.2018 Tarihinde Yapılan Denetimde Aracın Geri Görüş Kamerasının Çalışmadığı Arızalı Olduğu Tespit Edilmiştir. Görüntü Ektedir
Menfi,Engelli yolcuların otobüse erişimini sağlayan ekipmanları kullanmamak
Menfi,41AT AYAZAĞA DURAĞINDA 10:35 TEN BERİ BEKLEMEKTEYİM ARAÇ HALA GELMEDİ. YILDIZ TEKNİK YÖNÜ SAAT 11:00 30KM DURAK İHLALİ
Menfi,10.01.2018 tarihinde C 1903 kodlu araca yapılan denetimde aracın dış temizliğinin yapılmadığı tespit edilmiştir
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :12:15
Menfi,Daha önce uyarmamıza rağmen kırık koltukların onarılmadığı görülmüştür.
Menfi,Daha önce uyarılmasına rağmen kırık olan koltukların onarılmadığı görülmüştür.
Müspet,YENİDOĞAN KALKIŞ SAAT 08.30 SEFERİ MECİDİKÖY YÖNÜNE GİDERKEN GÜLBAHÇE SOK. DURAĞINDAN SONRA 2 DURAK ATLAYIP PLAZALAR DURAĞINA GİTTİ.GÜZERGAH İHLALİ YAPTI VE ŞOFÖR LEVENT GİRİŞİNDE OTOBANDA DURAK HARİCİ BİR YERDE YOLCU İNDİRDİ.BU KONUDAN DOLAYI ŞOFÖRDEN ŞİKAYETÇİYİM GEREKLİ İŞLEMLERİN YAPILMASINI ARZ EDERİM. iett tespit çamlık durak: 40 km. madenler durak: 81 km
Menfi,19F hattında çalışan C-1624 kodlu araca 10.01.2018 günü yapılan denetimde aracın iç temizliğinin uygun olmadığı tespit edilmiştir resim ektedir
Müspet,19S YENİDOĞAN KADIKÖY C1669 MOR ÖZEL HALK OTOBÜSÜ DÖRT YOL DURAĞINDA ÖN KAPIYI AÇIYOR ARAÇ KALABALIK OLMASINA RAĞMEN VATANDAŞIN AYAĞI SIKIŞIYOR VATANDAŞ CAMI KIRIYOR 40 KİŞİ DURAKTA BEKLİYORUZ MAĞDUR BİR ŞEKİLDE ARAÇTAN İNDİRİYOR DİĞER ARAÇLARI BEKLİYORUZ. ŞÖFÖRÜN PSKOLOJİSİ NORMAL DEĞİL ŞİKAYETÇİYİM İLGİLENİN.
Menfi,Araç şoförünün zeytinburnu son durağa girerken araç içerisinde sigara içtiği görülmüştür.
