Durum,Rapor Aciklamasi
Müspet,31.01.2018 Tarihinde Yapılan Denetimde Aracın İç Ekranları Uyarılmasına Ragmen Arızalı Olduğu Tespit Edilmiştir. Görüntü Ektedir
Müspet,BELİRTMİŞ OLDUĞUM 11ÜS HAT NUMARALI OTOBÜSÜ ÜSKÜDAR İSTİKAMETİNDE GÜLBAHÇE SOKAK DURAĞINDA BEKLEMEKTEYİM ARAÇ SAAT 14:43 CİVARI GELDİ ANCAK DURAKTA DURMADI. ŞİKAYETÇİYİM. GEREĞİNİN YAPILMASINI TALEP ETMEKTEYİM. iett tespit: 26 km
Müspet,11ÜS C-1912 GÜLBAHÇE SOKAK DURAĞINDAN DURMADAN GEÇMİŞTİR. iett tespit : 26 km
Müspet,Arka ioas logosu yirtik daha evvel süre verilmistir.lakin degistirilmemis
Müspet,HAT:15BK YÖN:KADIKÖY DURAK:SU ÜRÜNLERİ SAAT:14:05 BELİRTMİŞ OLDUĞUM C 1763 KAPI NUMARALI ARACA BİNDİM ARAÇ ŞOFÖRÜ BEN KAVACIK MEZARLIK DURAĞINDA İNENE KADAR ON BEŞ DURAK BOYUNCA TELEFONLA KONUŞTU.İKAZ EDİLMESİNE RAĞMEN ŞOFÖR BEY TELEFONLA KONUŞMAYA DEVAM ETTİĞİ İÇİN ŞİKAYETÇİYİM.ARACI DÜZGÜN KULLANMAMIŞTIR.GEREĞİNİN YAPILMASINI TALEP EDİYORUM.
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -2- sefer etkilenmistir İhlal Saati :15:30
Müspet,31.01.2018 tarihinde C 1763 kodlu araca yapılan denetimde aracın arka stop lambaları on ve arka sinyalleri ile dörtlü flaşörlerinin sure verilmiş olmasına rağmen halen yaptirilmadigi ve calışmadıgı tespit edilmiştir
Menfi,ALTINOLUK CAMİ DURAĞINDA 18K HATTINI KADIKÖY YÖNÜNE DOĞRU BEKLİYORDUM. 34GA4878 PLAKALI ARAÇ 12:35 CİVARI DURAKTA DURMADI. İŞE GEÇ KALDIM. SÜREKLİ BU ŞEKİLDE DURUMLA KARŞILAŞIYORUZ ÇÖZÜM BEKLİYORUZ. OTOBÜS ŞOFÖRÜNDEN ŞİKAYETÇİYİM. iett tespit: 33 km
Müspet,76O HAT NOLU ARACIN ŞOFÖRÜ AKBİLİ OLMAYAN YOLCULARDAN ÜCRET ALIP HERHANGİ BİR KART BASMADAN GEÇİŞLERİNİ SAĞLIYOR. BU KONU HAKKINDA BEN ARAÇ ŞOFÖRÜNDEN ŞİKAYETCİYİM GEREĞİNİN YAPILMASINI TALEP EDERİM.
Müspet,Verilen süreye rağmen aracın yolcu bilgilendirme monitörü çalışmamaktadır
Müspet,11A C1874 FİDANLIK DURAĞINDA ALEMDAĞ YÖNÜ 11:00 CİVARI BİZİ ALMADI ŞİKAYETÇİİYM 34EH5235 iett tespit: 30 km
Müspet,A1539 KAPI NUMARALI ARACIN ŞÖFÖRÜ YOLCULUK YAPTIĞIM SÜRE BOYUNCA YANİ 15-20 DK SÜRESİNCE 8 KİŞİDEN ÜCRET ALDI.14.AVCILAR LİSESİ DURAĞINDA BİNDİM-29.ESENYURT CUMHURİYET MEYDANINDA İNDİM.BOZUK PARALAR CAMIN ÖNÜNDE BİRİKMİŞTİ ORADAN PARA ÜSTÜ VERMEKTEYDİ.
Müspet,C1892 09:05 CİVARI ARAÇ PERSONELİ alvarlızade CAMİİ DURAĞINDAN ANAYOLA GİDİYOR VE YAYA GEÇİDİ VARDI BENİ ORDA EZİLMEK ÜZEREYKEN SON ANDA KURTULDUM VE BENİMLE MÜNAKAŞAYA GİRDİ SENİN KAFANI KESERİM DEDİ ŞİKAYETÇİYİM Hat No Paylaşılmadı.
Müspet,31.01.2018 tarihinde C 1647 kodlu araca yapılan denetimde aracın şoförü Raci Sergiser isimli sürücünün daha önce iptal edilmiş sertifikasi ile araç sürdüğü tespit edilmiştir
Müspet,Kontrol amaçlı geldiğimizde kayıt cihazının arızalı olduğu görüldü.11-01-2018 tarihinde yaptırılması söylenmişti.Yaptırılmadığı görüldü.
Müspet,Sol dis logo sure verilmesine ve ceza formu yazilmasina ragmen 20 gündür degistirilmemis.su anda ki durum sol dis ioas logo yok
Menfi,31.01.2018 tarihinde C 1761 kodlu araca yapılan denetimde aracın dış temizliğinin yapılmadığı tespit edilmiştir
Menfi,PLAZALAR DURAĞINDAN 122B HATTININ C-1889 NUMARALI ARAÇ KAVACIK DURAĞINA GİRMEDİ NEDEN GİRMEDİĞİNİ SORUNCA İSE DURAĞA GİRMEK ZORUDA DEĞİLDİ TRAFİK VAR DEYİP E5 DE İNDİRDİ BİZİ ŞİKAYETÇİYİM. iett tespit: 33 km
Müspet,98H HAT NOLU ARACIN ŞOFÖRÜ İNCİRLİ VE BAHÇELİEVLER DURAĞINA GELDİĞİNDE ARACININ TABELASINI KAPATARAK VE DURAKTA DURMADAN YOLUNA DEVAM ETTİ BU KONU HAKKINDA BEN ARAÇ ŞOFÖRÜNDEN ŞİKAYETCİYİM GEREĞİNİN YAPILMASINI TALEP EDERİM iett tespit: 46 km
Müspet,76O HATTINDA ÇALIŞAN BELİRTMİŞ OLDUĞUM PLAKALI ARACIN ŞOFÖRÜ YOLCULUK HALİNDEYKEN TELEFONLA 3 KERE KONUŞTU YOLCULAR BU DURUMLA İLGİLİ UYARIDA BULUNDU ŞOFÖR YOLCULARLA TARTIŞTI BU DURUMDAN ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI ARZ EDERİM.
Menfi,BELİRTMİŞ OLDUĞUM ARAÇ ŞOFÖRÜ ÇALIŞLAR DURAĞINDA 20 DK BEKLEMEMİZE RAĞMEN HAT BİLGİSİ IŞIKLARINI KAPALI BİR ŞEKİLDE GELİP DURMASI İÇİN İŞARETTE BULUNDUĞUMUZ HALDE DURMADAN GEÇİŞİNİ SAĞLAMIŞTIR. BU DURUM SIK SIK YAŞANMAKTADIR. EMİNÖNÜ YÖNÜ iett tespit: 40 km
Müspet,11A - kapı numarası c-1900 olan araç hep aynı şöför hem saatinden çok geç geliyor ve herseferinde ekşioğlu mahallesinde inecek varmı diye soruyor eğer inecek olmasa mahalleye girmeyip güzelgah değiştiriyor bu günde aynı şey oldu ve eğer girmeseydi ekşioğlu mahallesinden hasta bir kadın binemiyecekti artık bu adama bir şeyler yapın Allah rızası için biri bu adamı görevinden alsın başka bir görev versin yada bilmiyorum bu adam görevini suistimal ediyor hep aynı adam
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:08:05
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:07:40
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:07:35
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -7- sefer etkilenmistir ilk zayi saati:07:08
Menfi,Sefer Zayi Raporu - Otobus Yoklugu -3- sefer etkilenmistir ilk zayi saati:06:50
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:06:50
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -10- sefer etkilenmistir ilk zayi saati:06:46
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -8- sefer etkilenmistir ilk zayi saati:06:40
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -5- sefer etkilenmistir ilk zayi saati:06:35
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:06:35
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:06:15
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -10- sefer etkilenmistir ilk zayi saati:06:10
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:06:00
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -7- sefer etkilenmistir ilk zayi saati:06:00
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -7- sefer etkilenmistir ilk zayi saati:06:00
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -3- sefer etkilenmistir ilk zayi saati:05:40
Menfi,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:23:30
Menfi,97M A1603 BAĞCILAR BELEDİYESİNDEN BİNDİM DÜĞMEYE BASMAMIZA RAĞMEN KİMSEYE KAPIYI AÇMADI DURAĞI GEÇTİKTEN SONRA AÇTI ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI ARZ EDERİM AYRICA TELEFON İLE DE OYNUYORDU iett tespit: 26 km
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:22:50
Müspet,Ht20-A1820 kodlu araç 20:14 saatte Yenibosna Metro istikametine Yenidoğan durağında durmadan devam etti. Gereğinin yapılmasını arz ederim. iett tespit: 61 km
Menfi,19:50 DE KALKAN ARAÇ ŞOFÖRÜ PALMİYE DURAĞINDA DURMADI ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI TALEP EDİYORUM -MOR RENKLİ - iett tespit: 36 km
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -2- sefer etkilenmistir İhlal Saati :21:30
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:21:20
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :21:20
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:21:00
Menfi,Sabah ve akşam yapılan fiziki denetimlerde Bilal Çaylı nın gün boyu tek çalıştığı tespit edilmiştir.
Müspet,Sabah ve akşam yapılan fiziki denetimlerde Ömer Ayaz ın gün boyu tek çalıştığı tespit edilmiştir.
Müspet,Sabah ve akşam yapılan fiziki denetimlerde Mehmet Baki Alak ın gün boyu tek çalıştığı tespit edilmiştir.
Müspet,30.01.2018 günü yapılan denetimde C-1505 kodlu arac gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,Sabah ve akşam yapılan fiziki denetimlerde Ahmet Gül ün gün boyu tek çalıştığı tespit edilmiştir.
Müspet,Sabah ve akşam yapılan fiziki denetimlerde Hasan Demircan ın gün boyu tek çalıştığı tespit edilmiştir.
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -2- sefer etkilenmistir ilk zayi saati:20:35
Müspet,Sabah ve akşam yapılan fiziki denetimlerde Hüseyin Solmaz ın gün boyu tek çalıştığı tespit edilmiştir.
Müspet,Sabah ve akşam yapılan fiziki denetimlerde Kenan Sevinç in gün boyu tek çalıştığı tespit edilmiştir.
Müspet,19D HAT NUMARALI C-1603 KAPI NUMARALI OLAY SAATİ:18:43 BELİRTTİĞİM ARACIN ŞÖFÖRÜ TELEFON KONUŞUYOR VE ARACI ÜZERİMİZE KIRDI ŞİKAYETÇİYİM. YÖN:BOSTANCI OLAY YERİ ÇAKMAK KÖPRÜSÜ KAPI KOD KONTROL EDİLDİ.
Müspet,30.01.2018 Tarihinde Yapılan Denetimde Sürücü Mehmet Kaya nın Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Müspet,30.01.2018 Tarihinde Yapılan Denetimde Sürücü Cemil Gökmen in Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Menfi,30.01.2018 Tarihinde Yapılan Denetimde Sürücü Serdal Özdemir in Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Menfi,30.01.2018 Tarihinde Yapılan Denetimde Sürücü Engin Şencan ın Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Menfi,C1782 kodlu 18.15 de Altıyol Durağından geçen araç şöförünüz duraklarda yolcu almayıp otobüs içerisindeki bayana hakaret etmiş indirmeyle tehdit etmiştir.İşinden memnun gözükmeyen insana saygısı olmayan böyle şöförleri kurumunuzda çalıştırılaması konusun da tekrar hatırlatma yapmak isterim.Bu hatta her zaman bir yoğunluk oluşmakta Altıyol durağında bekleme yaparken 15 20 dakika bir kalkan bu hatta inat 19F 16D 14ES 8E dört adet geçmektedir.Bu hat güzergahında yaşayanlar insan değil mi yada Akbil basmıyor mu beleşti midir. PERSONEL KISMI
Müspet,30.01.2018 günü ya 30.01.2018 günü C-1731 kodlu araca yapılan denetimde aracın sürücüsü gün boyu tek çalıştığı tespit edilmiştir resim ektedir
Müspet,30.01.2018 Tarihinde Yapılan Denetimde Sürücü Kadir Okutan ın Belirlenen Süreden Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
Müspet,30.01.2018 Tarihinde Yapılan Denetimde Sürücü Savaş Delibaş ın Belirlenen Süredeb Fazla Çalıştığı Tespit Edilmiştir. Görüntü Ektedir
